x,y
1.654760233,7.813235533
-0.699055333,1.161960473
-2.136306394,14.16462808
1.351808904,5.725248663
-2.117757512,13.36809964
-0.454815269,0.32930836
-1.947850373,11.87672095
-0.21190218,0.273388803
1.57861517,7.973286247
-0.76185316,1.39859071
0.495144412,0.828835834
-1.062684636,3.205919593
2.441462647,18.34663923
-0.03219826,-0.156262776
-1.690354421,8.331349869
1.545958138,7.694096364
0.644247787,0.743966554
-1.903879959,10.69854659
-0.135419479,-0.034346317
1.567285787,7.728212255
-2.049647097,12.33058924
-2.43227918,18.54010833
1.161608869,3.608507648
0.483682821,0.389113048
-0.193699965,0.009058536
2.444953841,18.60225381
0.836211895,2.038478782
-1.148092986,4.107512833
-2.077990832,12.74276214
1.718231057,8.478147023
1.167952592,4.448965006
1.596487356,8.17673833
0.787221373,1.909232174
-0.035243741,-0.504061152
-1.614095267,7.42297186
1.464913011,6.274077883
-1.626034192,7.882289384
1.356300445,5.565160934
-0.209269636,-0.018084519
0.510657796,0.722771055
1.333088955,5.415328013
0.927848995,2.71323744
1.697361198,8.642154847
1.010523804,3.003989383
-0.818744211,2.064682925
-1.704128354,8.65012389
-1.073553638,2.967783564
-0.940553992,2.086450385
1.472938235,6.706980624
1.264785848,4.975056017
1.39344975,6.232246721
-1.123376138,3.791479556
1.578450405,7.687312747
0.332415128,0.617226869
-1.467956358,6.706750516
0.085201765,0.045815864
-0.926269705,2.180048468
0.636575259,0.804508905
-0.710007188,1.34326812
-1.004979319,2.982650699
1.388828711,5.82868697
-2.119709904,13.31107132
0.932365228,2.796368515
-0.465288567,0.123605829
2.143974139,13.78569094
0.776758232,1.235362543
0.512007446,0.205058131
2.34778138,16.97908686
1.350188276,5.876223248
-0.458850899,0.766202623
-1.01399236,3.094052562
-2.290761219,16.40036986
2.167804725,14.2222695
-1.142478534,4.33245499
-2.435070865,18.12366365
-2.153009682,13.76756189
-0.034384372,-0.622013718
-0.767086317,1.187496778
-0.035496372,-0.612280818
-1.425023634,5.750827108
-2.249356697,15.83760889
1.768363573,9.706353096
-2.0352689,12.99370898
0.919446835,2.828401838
1.642266717,8.100515194
0.830707482,2.103447936
0.790527702,1.520991765
-0.154152295,-0.016750673
0.77151428,1.544104305
-2.330399407,16.255172
-0.816006851,1.893709175
-1.077211096,3.535264269
-0.889490616,2.510087648
1.329757953,5.256320501
1.796211959,10.0803103
0.007301669,-0.644447722
-1.851304832,10.37111562
-1.767293014,9.215003972
-1.441464279,6.564081397
0.043509079,0.022593962
